,load
409,0.791729384
410,0.761919612
411,0.757839828
412,0.791323469
413,0.954287978
414,1.365150593
415,1.5906505
416,1.51948994
417,1.326152999
418,1.282686743
419,1.160387858
420,1.064550669
421,1.003599753
422,0.973634492
423,1.032919954
424,1.250333255
425,1.687365189
426,1.915172544
427,1.909932735
428,1.794379027
429,1.655251482
430,1.401618584
431,1.152714057
432,0.891763918
433,0.785466118
434,0.753997191
435,0.758234662
436,0.792990533
437,0.956540896
438,1.329154534
439,1.572636078
440,1.502425563
441,1.294649594
442,1.247627517
443,1.115276887
444,1.023326049
445,0.961967742
446,0.926680406
447,0.977402075
448,1.192318635
449,1.627689207
450,1.85291556
451,1.849107988
452,1.728081838
453,1.592638694
454,1.339420131
455,1.078261732
456,0.815819398
457,0.708931069
458,0.664037915
459,0.657023081
460,0.677066832
461,0.829402461
462,1.216847946
463,1.444321318
464,1.395412341
465,1.230881398
466,1.212396606
467,1.121809891
468,1.055126165
469,1.005397699
470,0.975136662
471,1.020625129
472,1.21535906
473,1.627443717
474,1.846337846
475,1.831000208
476,1.700782091
477,1.556086886
478,1.29480582
479,1.03122055
480,0.778147257
481,0.664960358
482,0.628179477
483,0.626604152
484,0.657983767
485,0.830505205
486,1.226196014
487,1.518378287
488,1.461719823
489,1.291793413
490,1.259561643
491,1.158595963
492,1.076628767
493,1.018088877
494,0.970251618
495,1.029442647
496,1.227464572
497,1.646075191
498,1.876918747
499,1.879713341
500,1.754866406
501,1.615407054
502,1.356784237
503,1.076203116
504,0.80171549
505,0.690344024
506,0.654344666
507,0.657571729
508,0.692102888
509,0.862857589
510,1.288238102
511,1.534749054
512,1.478868116
513,1.309020629
514,1.258177024
515,1.160635309
516,1.09448522
517,1.039635268
518,1.04169588
519,1.09346574
520,1.29884072
521,1.740492347
522,1.977895945
523,1.982836235
524,1.85716792
525,1.707096708
526,1.443398607
527,1.183476165
528,0.886737724
529,0.805378816
530,0.780035498
531,0.766656031
532,0.795890172
533,0.969182589
534,1.343611131
535,1.588595002
536,1.520248672
537,1.33417096
538,1.294532731
539,1.185559894
540,1.097292172
541,1.023102239
542,0.984849856
543,1.04294384
544,1.247738397
545,1.676336884
546,1.893564505
547,1.890103889
548,1.767815567
549,1.625148228
550,1.368598011
551,1.106561005
552,0.840731912
553,0.71983553
554,0.680911202
555,0.673412776
556,0.695658188
557,0.856201284
558,1.226666041
559,1.472099818
560,1.428692392
561,1.260887901
562,1.229781633
563,1.132047961
564,1.055186904
565,0.971371545
566,0.936596554
567,0.978479945
568,1.179129796
569,1.592694034
570,1.814096776
571,1.804863971
572,1.681568498
573,1.539631181
574,1.282549891
575,1.025082412
576,0.76769211
577,0.661696324
578,0.63447491
579,0.637484939
580,0.666006996
581,0.835798625
582,1.204344303
583,1.451652891
584,1.399927504
585,1.217105344
586,1.168898323
587,1.072625228
588,1.00088159
589,0.953582785
590,0.927480452
591,0.975932184
592,1.175760688
593,1.582323777
594,1.813076672
595,1.794608867
596,1.664962876
597,1.515503888
598,1.251459393
599,0.986821652
600,0.715836057
601,0.606319672
602,0.566226518
603,0.559220198
604,0.582936897
605,0.741235429
606,1.107014914
607,1.350672507
608,1.304705682
609,1.131841844
610,1.050170944
611,0.975574248
612,0.908342066
613,0.84942005
614,0.813806523
615,0.858511148
616,1.053817689
617,1.431121692
618,1.675341309
619,1.667590638
620,1.539108178
621,1.392687469
622,1.137192729
623,0.874794967
624,0.607252475
625,0.492527967
626,0.456567692
627,0.454376504
628,0.481925628
629,0.644799439
630,1.013953624
631,1.278249831
632,1.230713343
633,1.072592185
634,1.023380272
635,0.959243936
636,0.914082031
637,0.877033488
638,0.857325578
639,0.916525589
640,1.115769759
641,1.51904546
642,1.75340688
643,1.743083599
644,1.615403189
645,1.474885858
646,1.217512125
647,0.960805305
648,0.709132682
649,0.600551084
650,0.565894818
651,0.565457476
652,0.605033415
653,0.784873641
654,1.206900118
655,1.478292805
656,1.423117407
657,1.245508603
658,1.176453489
659,1.125870512
660,1.03718379
661,0.986635699
662,0.950107011
663,1.006273103
664,1.212452648
665,1.641449444
666,1.87701511
667,1.873970715
668,1.745975741
669,1.597408496
670,1.323198452
671,1.041555339
672,0.760543345
673,0.643550228
674,0.600945542
675,0.596506835
676,0.624243591
677,0.781178867
678,1.205032646
679,1.475703932
680,1.424331566
681,1.241436667
682,1.178117633
683,1.083200001
684,1.015167203
685,0.964921651
686,0.93383599
687,0.979682458
688,1.176876538
689,1.582184836
690,1.825980424
691,1.824354142
692,1.697515091
693,1.54593829
694,1.278253583
695,1.000919334
696,0.709678746
697,0.609219818
698,0.58279796
699,0.589431218
700,0.624139943
701,0.791816415
702,1.165732224
703,1.442906973
704,1.377940806
705,1.21146087
706,1.17141816
707,1.070670334
708,0.986262864
709,0.920370165
710,0.891172277
711,0.950878738
712,1.154266043
713,1.574234519
714,1.796424678
715,1.788233433
716,1.661961858
717,1.520497528
718,1.264394921
719,1.003404654
720,0.739457166
721,0.630982801
722,0.596054299
723,0.601784224
724,0.641843604
725,0.811209474
726,1.213408769
727,1.466998302
728,1.384838998
729,1.192479868
730,1.160385124
731,1.041763967
732,0.983685667
733,0.944030872
734,0.921295531
735,0.970472166
736,1.165792032
737,1.571045237
738,1.792879345
739,1.786388876
740,1.661449635
741,1.520266804
742,1.262862977
743,1.003945024
744,0.743320375
745,0.640735317
746,0.607488475
747,0.611052007
748,0.646696392
749,0.818863222
750,1.171953814
751,1.403500742
752,1.351996551
753,1.206460367
754,1.182262028
755,1.096004563
756,1.026737648
757,0.963406027
758,0.919104149
759,0.95147805
760,1.117193542
761,1.492403009
762,1.714863948
763,1.800049727
764,1.720481592
765,1.573595925
766,1.319038226
767,1.068590818
768,0.80224601
769,0.698589127
770,0.666190569
771,0.666179608
772,0.697328014
773,0.863741782
774,1.215873974
775,1.476436938
776,1.397285703
777,1.220258992
778,1.17430785
779,1.056386527
780,0.960203167
781,0.900451157
782,0.870331582
783,0.912257448
784,1.088799458
785,1.473241968
786,1.705045627
787,1.796495754
788,1.721279004
789,1.581239176
790,1.320920337
791,1.067395389
792,0.801343706
793,0.697433131
794,0.663736485
795,0.661734621
796,0.691814347
797,0.854389352
798,1.226169908
799,1.43536196
800,1.365471215
801,1.203508953
802,1.154579628
803,1.037472674
804,0.951669665
805,0.930441454
806,0.898986617
807,0.94043115
808,1.103655006
809,1.469752307
810,1.696691305
811,1.782444221
812,1.705845333
813,1.562296199
814,1.305214884
815,1.051279761
816,0.801334014
817,0.690579673
818,0.662955459
819,0.659683233
820,0.691273927
821,0.865271197
822,1.269444956
823,1.494025819
824,1.432786222
825,1.267579369
826,1.208867616
827,1.118497074
828,1.035247355
829,0.960715934
830,0.912541114
831,0.937387191
832,1.099742129
833,1.462321367
834,1.703989003
835,1.794772998
836,1.712146387
837,1.562040952
838,1.294080093
839,1.018461606
840,0.73634104
841,0.624808834
842,0.591896904
843,0.592100898
844,0.632407719
845,0.81880722
846,1.197139655
847,1.470115297
848,1.389482252
849,1.238934921
850,1.192952698
851,1.098025052
852,1.015196501
853,0.960775777
854,0.924277926
855,0.958471013
856,1.114204212
857,1.465218177
858,1.705308832
859,1.791460037
860,1.714285795
861,1.556183056
862,1.282236369
863,1.006830073
864,0.710758307
865,0.603164592
866,0.571514611
867,0.576663965
868,0.614713437
869,0.790003665
870,1.165696019
871,1.381018677
872,1.300441545
873,1.125348817
874,1.057208888
875,0.952234567
876,0.873321788
877,0.820207336
878,0.789328704
879,0.833683439
880,1.005652861
881,1.372623249
882,1.613745028
883,1.708041485
884,1.634992622
885,1.491620529
886,1.235387877
887,0.984778235
888,0.722461371
889,0.623345316
890,0.589882699
891,0.590605691
892,0.621541946
893,0.791127143
894,1.145948442
895,1.376429427
896,1.294685688
897,1.114373619
898,1.040935246
899,0.939192471
900,0.861586091
901,0.80608461
902,0.776642112
903,0.823934364
904,0.994249411
905,1.354363538
906,1.599762796
907,1.691992652
908,1.617759357
909,1.481291175
910,1.238528926
911,0.989264877
912,0.731196163
913,0.63282871
914,0.607356216
915,0.623767209
916,0.659065277
917,0.824602
918,1.182922703
919,1.441151517
920,1.373200663
921,1.230472096
922,1.216645366
923,1.135681773
924,1.067236068
925,1.031430794
926,1.015840815
927,1.056430004
928,1.212315844
929,1.57807461
930,1.836947163
931,1.869220944
932,1.770295136
933,1.613023016
934,1.340940016
935,1.076899183
936,0.810462275
937,0.702113337
938,0.663954999
939,0.663170882
940,0.690666496
941,0.855936611
942,1.210686652
943,1.472724916
944,1.397995595
945,1.249858397
946,1.233141327
947,1.135382991
948,1.068421218
949,1.020089248
950,0.992367782
951,1.030662084
952,1.184683673
953,1.556316821
954,1.770133537
955,1.845098625
956,1.758724972
957,1.617434825
958,1.359399186
959,1.107403499
960,0.84587265
961,0.743922785
962,0.716588159
963,0.717882122
964,0.758544679
965,0.938156762
966,1.296628941
967,1.523284128
968,1.466881874
969,1.317042023
970,1.298206241
971,1.188450394
972,1.102159901
973,1.030229965
974,0.991794903
975,1.022098226
976,1.182773689
977,1.554919639
978,1.771100445
979,1.848384194
980,1.765806001
981,1.615307139
982,1.351015191
983,1.103358371
984,0.846969811
985,0.736038549
986,0.703960173
987,0.704652232
988,0.743818377
989,0.915838898
990,1.292472814
991,1.536533064
992,1.490860939
993,1.349712016
994,1.322997391
995,1.221702647
996,1.143865943
997,1.084195996
998,1.043670174
999,1.070665235
1000,1.227651858
1001,1.595595684
1002,1.865692506
1003,1.904879904
1004,1.803934079
1005,1.640019389
1006,1.367080951
1007,1.087471874
1008,0.799743911
1009,0.686295299
1010,0.644823627
1011,0.638811461
1012,0.665841228
1013,0.840930164
1014,1.219670923
1015,1.488300858
1016,1.433006397
1017,1.287719099
1018,1.250417648
1019,1.154801093
1020,1.075748135
1021,1.024217746
1022,0.987209913
1023,1.023721765
1024,1.185583123
1025,1.547732015
1026,1.775793583
1027,1.857220442
1028,1.768185056
1029,1.606942333
1030,1.326436072
1031,1.046939438
1032,0.748056004
1033,0.640656319
1034,0.604807692
1035,0.600482775
1036,0.627842909
1037,0.79186293
1038,1.144237845
1039,1.400003023
1040,1.325725751
1041,1.176400284
1042,1.141192582
1043,1.057812103
1044,0.982694293
1045,0.907809092
1046,0.863874864
1047,0.894914117
1048,1.055159762
1049,1.411615849
1050,1.638886124
1051,1.727283005
1052,1.657041147
