,solar
580,0
581,0
582,0
583,0.151346999
584,1.603831673
585,2.054288574
586,3.772315165
587,4.242201365
588,4.295900129
589,3.968786001
590,3.242203574
591,2.153888627
592,0.818983154
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0.005713578
608,0.248334606
609,0.541696058
610,1.249644979
611,3.334564798
612,3.301710927
613,2.730506806
614,2.063682526
615,1.306568486
616,0.442438461
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0.068589746
632,1.21609105
633,2.200662276
634,2.476421981
635,2.398071791
636,1.908110242
637,0.734800466
638,1.196290315
639,0.762392853
640,0.264557997
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0.031725286
656,0.537265036
657,1.037201293
658,1.03229005
659,1.44395805
660,0.425081048
661,0.558984317
662,0.480003971
663,0.62030944
664,0.562907348
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0.087829311
680,1.212110285
681,1.611778445
682,2.66098233
683,4.348524991
684,3.012200904
685,2.814951646
686,1.105351096
687,1.139556642
688,0.668607019
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0.063057394
704,1.031575694
705,2.007511926
706,3.10007977
707,3.749352624
708,2.01229209
709,2.52977943
710,1.662168813
711,1.505322912
712,0.764874902
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0.000425042
728,0.127851371
729,0.271161612
730,1.375287104
731,1.254047098
732,0.653294768
733,0.800013207
734,1.833109608
735,1.652700493
736,0.786425063
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.197177633
752,1.527858156
753,2.655906554
754,1.850552317
755,2.129949953
756,2.007216187
757,0.766488006
758,1.190750226
759,0.767943544
760,0.442405842
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0.211758023
776,1.711185404
777,2.519205987
778,3.242062393
779,3.426253398
780,2.533799189
781,2.566895573
782,2.514232776
783,1.942573016
784,0.799222072
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0.053020857
800,0.52583232
801,1.204148071
802,2.149608896
803,3.202691696
804,2.8405851
805,2.474380791
806,1.529630349
807,0.945139715
808,0.32286999
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0.441471595
824,2.015361641
825,3.371965128
826,4.310535356
827,4.816267213
828,4.90890991
829,4.585228574
830,3.822772134
831,2.644259073
832,1.170606391
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0.025114704
848,0.262481084
849,1.070910652
850,1.114192053
851,0.822130708
852,1.013104828
853,0.996590806
854,1.23945854
855,1.409301685
856,0.975143631
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0.436296747
872,1.898625495
873,3.171969437
874,4.019354265
875,4.455282322
876,4.527757182
877,4.210862452
878,3.521253832
879,2.46384052
880,1.116446641
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0.020507621
896,0.173777627
897,0.017146252
898,0.384878355
899,1.135900153
900,1.360947823
901,1.11982415
902,1.573444779
903,1.170756453
904,0.466928334
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0.352958814
920,1.547442955
921,1.604100383
922,2.627366722
923,3.651218473
924,3.704296132
925,4.038395064
926,3.329036315
927,1.901471091
928,0.872863186
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0.037924664
944,0.384309571
945,0.725796835
946,1.971580989
947,3.438127403
948,3.435195613
949,2.511763369
950,4.092139747
951,2.959417965
952,1.371163061
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0.598025855
968,2.220116389
969,3.40553662
970,3.520194104
971,4.240127619
972,4.543992942
973,4.065840945
974,3.282632193
975,2.162283047
976,1.051477002
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0.304292888
992,1.354578223
993,2.536679844
994,2.323323559
995,2.711440255
996,3.208857702
997,2.092656034
998,2.979894416
999,2.241602914
1000,1.003892298
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0.004139082
1016,0.068426653
1017,0.37354003
1018,0.33875777
1019,0.368925205
1020,0.552526468
1021,0.326568326
1022,0.286536502
1023,1.885129811
1024,0.944085393
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0.591683725
1040,1.898171325
1041,2.480043803
1042,3.192910567
1043,3.682919233
1044,4.382240924
1045,3.604145451
1046,2.377511389
1047,1.342332201
1048,0.727810969
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0.306835276
1064,1.176025845
1065,1.605516956
1066,2.256015425
1067,2.576194636
1068,3.50822811
1069,4.280533157
1070,3.866495309
1071,2.756875861
1072,1.346501868
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0.181587825
1088,0.800719685
1089,1.414798809
1090,2.171481015
1091,3.257698581
1092,3.102485765
1093,0.53490387
1094,0.877071307
1095,0.740692096
1096,0.739254552
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0.642868881
1112,1.58154922
1113,1.984722889
1114,2.756775526
1115,2.257000705
1116,2.166260671
1117,1.834168321
1118,1.514050903
1119,1.007010947
1120,1.14220138
1121,0.016425545
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0.465252658
1136,1.469272818
1137,2.941848109
1138,4.067780863
1139,4.900048225
1140,4.952160994
1141,4.63754413
1142,3.915855091
1143,2.685218425
1144,1.338999735
1145,0.020806114
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0.655080549
1160,2.088949748
1161,3.316331559
1162,4.118812976
1163,4.542481399
1164,4.458281004
1165,3.806262913
1166,2.859852251
1167,2.53211248
1168,1.345299341
1169,0.061357772
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0.270874259
1184,1.013705151
1185,2.098404694
1186,3.997156998
1187,3.879434098
1188,3.639977464
1189,4.336286254
1190,3.690219981
1191,2.690779047
1192,1.381864486
1193,0.085471562
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0.755160557
1208,2.218323015
1209,3.488775237
1210,4.345073132
1211,4.807850693
1212,4.879424911
1213,4.576634695
1214,3.912745146
1215,2.864335993
1216,1.47633028
1217,0.121791978
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0.592218851
1232,1.769846796
1233,2.608406512
1234,2.926480685
1235,3.158746259
1236,3.431666411
1237,3.576654207
1238,2.456910943
1239,1.454130249
1240,0.702177885
1241,0.022561812
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0.188799624
1256,0.683106305
1257,1.132795947
1258,2.407477111
1259,3.372714741
1260,3.116223449
1261,3.234256129
1262,2.853077329
1263,1.991318928
1264,0.976746631
1265,0.035892657
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0.650344305
1280,1.000948214
1281,0.957265974
1282,1.768955444
1283,3.968528294
1284,4.481009931
1285,4.104441038
1286,3.242735247
1287,2.595302953
1288,1.320163699
1289,0.102092791
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0.717885105
1304,2.05791747
1305,3.192726803
1306,4.015865482
1307,4.167085784
1308,3.630696323
1309,4.098296476
1310,2.914740688
1311,2.181541268
1312,1.334837974
1313,0.138074033
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0.748898068
1328,1.837532762
1329,2.588832457
1330,2.897795195
1331,3.102446661
1332,2.713783691
1333,2.300491071
1334,2.793542911
1335,1.498460216
1336,0.718207353
1337,0.036435509
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0.387447908
1352,1.09380355
1353,2.892062567
1354,2.882496887
1355,4.298627418
1356,5.011215301
1357,4.900076216
1358,4.169589404
1359,3.036294223
1360,1.58452286
1361,0.199127681
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0.561142256
1376,1.309702281
1377,2.176074792
1378,3.122866581
1379,3.714224546
1380,3.775208838
1381,3.046492343
1382,1.964068461
1383,1.066946389
1384,0.53014805
1385,0.043617471
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0.785916386
1400,2.145578942
1401,3.272842522
1402,3.753066373
1403,3.965903012
1404,3.67867521
1405,2.446993662
1406,1.512696332
1407,1.05701833
1408,0.518629726
1409,0.039472038
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0.201725613
1424,0.573750281
1425,0.6128912
1426,0.772155388
1427,1.328396143
1428,2.062294752
1429,2.352988912
1430,1.181700935
1431,0.951447159
1432,0.489315235
1433,0.04981116
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0.998709546
1448,2.5688006
1449,3.8960807
1450,4.815131772
1451,5.113924978
1452,5.073149198
1453,4.862935635
1454,4.175968006
1455,3.206498352
1456,1.723622462
1457,0.286112935
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,1.046936194
1472,2.510525628
1473,3.258581487
1474,3.430644307
1475,2.801701329
1476,3.034228348
1477,2.519363564
1478,2.505472688
1479,1.323750378
1480,1.518320361
1481,0.248293358
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,1.093797512
1496,2.663346421
1497,2.420734529
1498,2.945644758
1499,3.124739629
1500,4.501976916
1501,4.690647134
1502,4.161579608
1503,3.012392909
1504,1.825603334
1505,0.338664908
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,1.258327666
1520,2.909374064
1521,4.192425737
1522,5.034685839
1523,5.458494946
1524,5.481339929
1525,5.087953026
1526,4.329279238
1527,3.232886765
1528,1.786987812
1529,0.336681414
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,1.020378377
1544,2.256847239
1545,3.611550996
1546,4.431633127
1547,3.816524382
1548,3.257079811
1549,3.412325304
1550,3.704942604
1551,2.403397625
1552,1.324735535
1553,0.232923448
1554,0
1555,0
1556,0
1557,0
1558,0
